min_len,min_rules,num_rules,TP,FP,TN,FN,precision,recall,f1
4,150,419,24907,3084,66916,5093,0.8898217284127041,0.8302333333333334,0.858995361349175
3,200,682,24907,15227,54773,5093,0.6205960033886481,0.8302333333333334,0.7102689137935951
4,100,419,24907,15227,54773,5093,0.6205960033886481,0.8302333333333334,0.7102689137935951
2,200,771,24907,15467,54533,5093,0.6169069202952395,0.8302333333333334,0.7078466479097394
3,150,682,24907,16074,53926,5093,0.6077694541372831,0.8302333333333334,0.7017934376805061
2,150,771,24907,17107,52893,5093,0.5928262007902128,0.8302333333333334,0.6917266087149722
4,200,419,13636,427,69573,16364,0.9696366351418616,0.45453333333333334,0.618931983750539
4,50,419,29558,39072,30928,442,0.4306862887949876,0.9852666666666666,0.5993713880158167
3,50,682,29952,40545,29455,48,0.4248691433678029,0.9984,0.5960774948505926
2,50,771,29952,40555,29445,48,0.42480888422426144,0.9984,0.5960181877879153
3,250,682,13636,3854,66146,16364,0.7796455117209834,0.45453333333333334,0.5742682670035797
2,100,771,25878,39077,30923,4122,0.3983988915402971,0.8626,0.5450581854562687
3,100,682,25663,39064,30936,4337,0.3964806031486088,0.8554333333333334,0.5418307346374317
2,250,771,13636,13066,56934,16364,0.5106733578009138,0.45453333333333334,0.4809706888645904
4,250,419,43,0,70000,29957,1.0,0.0014333333333333333,0.0028625636587557833
5,50,0,0,0,70000,30000,0.0,0.0,0.0
5,100,0,0,0,70000,30000,0.0,0.0,0.0
5,150,0,0,0,70000,30000,0.0,0.0,0.0
5,200,0,0,0,70000,30000,0.0,0.0,0.0
5,250,0,0,0,70000,30000,0.0,0.0,0.0
